<TICKER>,x,<CLOSE>,<OPENINT>,<COl12>,Date
????_??6,20131109,76959.9,75868.9,Overall Index,11/6/2013
????_??6,20131110,77118.9,76959.9,Overall Index,11/9/2013
????_??6,20131111,76895.9,77118.9,Overall Index,11/10/2013
????_??6,20131112,76932.9,76895.9,Overall Index,11/11/2013
????_??6,20131116,77673,76932.9,Overall Index,11/12/2013
????_??6,20131117,77214.2,77673,Overall Index,11/16/2013
????_??6,20131118,77328.1,77214.2,Overall Index,11/17/2013
????_??6,20131119,78142,77328.1,Overall Index,11/18/2013
????_??6,20131120,78424.1,78142,Overall Index,11/19/2013
????_??6,20131123,78874.5,78424.1,Overall Index,11/20/2013
????_??6,20131124,80022.2,78874.5,Overall Index,11/23/2013
????_??6,20131125,81186.8,80022.2,Overall Index,11/24/2013
????_??6,20131126,81549.5,81186.8,Overall Index,11/25/2013
????_??6,20131127,82129.8,81549.5,Overall Index,11/26/2013
????_??6,20131130,83572.5,82129.8,Overall Index,11/27/2013
????_??6,20131201,84384.9,83572.5,Overall Index,11/30/2013
????_??6,20131202,83706.5,84384.9,Overall Index,12/1/2013
????_??6,20131203,83775.6,83706.5,Overall Index,12/2/2013
????_??6,20131204,84211.4,83775.6,Overall Index,12/3/2013
????_??6,20131207,84659.4,84211.4,Overall Index,12/4/2013
????_??6,20131208,84879.8,84659.4,Overall Index,12/7/2013
????_??6,20131209,85586.5,84879.8,Overall Index,12/8/2013
????_??6,20131211,86511.2,85586.5,Overall Index,12/9/2013
????_??6,20131214,85691.1,86511.2,Overall Index,12/11/2013
????_??6,20131215,87024.1,85691.1,Overall Index,12/14/2013
????_??6,20131216,88112.5,87024.1,Overall Index,12/15/2013
????_??6,20131217,87646.1,88112.5,Overall Index,12/16/2013
????_??6,20131218,87726.2,87646.1,Overall Index,12/17/2013
????_??6,20131221,86957.1,87726.2,Overall Index,12/18/2013
????_??6,20131222,87015.5,86957.1,Overall Index,12/21/2013
????_??6,20131224,88113.7,87015.5,Overall Index,12/22/2013
????_??6,20131225,88190.7,88113.7,Overall Index,12/24/2013
????_??6,20131228,87691.7,88190.7,Overall Index,12/25/2013
????_??6,20131229,87425.2,87691.7,Overall Index,12/28/2013
????_??6,20131230,87410,87425.2,Overall Index,12/29/2013
????_??6,20140101,88177,87410,Overall Index,12/30/2013
????_??6,20140104,88926.7,88177,Overall Index,1/1/2014
????_??6,20140105,89500.6,88926.7,Overall Index,1/4/2014
????_??6,20140106,89355.7,89500.6,Overall Index,1/5/2014
????_??6,20140107,88749.3,89355.7,Overall Index,1/6/2014
????_??6,20140108,88069,88749.3,Overall Index,1/7/2014
????_??6,20140111,87792.7,88069,Overall Index,1/8/2014
????_??6,20140112,85404.1,87792.7,Overall Index,1/11/2014
????_??6,20140113,87112.9,85404.1,Overall Index,1/12/2014
????_??6,20140114,87502.4,87112.9,Overall Index,1/13/2014
????_??6,20140115,85296.7,87502.4,Overall Index,1/14/2014
????_??6,20140118,84973.2,85296.7,Overall Index,1/15/2014
????_??6,20140120,83641.5,84973.2,Overall Index,1/18/2014
????_??6,20140121,83252.4,83641.5,Overall Index,1/20/2014
????_??6,20140122,82028.8,83252.4,Overall Index,1/21/2014
????_??6,20140125,82670.3,82028.8,Overall Index,1/22/2014
????_??6,20140126,81905.6,82670.3,Overall Index,1/25/2014
????_??6,20140127,80861.4,81905.6,Overall Index,1/26/2014
????_??6,20140128,81644.4,80861.4,Overall Index,1/27/2014
????_??6,20140129,82797.7,81644.4,Overall Index,1/28/2014
????_??6,20140201,84164.7,82797.7,Overall Index,1/29/2014
????_??6,20140202,83606.5,84164.7,Overall Index,2/1/2014
????_??6,20140203,83165,83606.5,Overall Index,2/2/2014
????_??6,20140204,83170.6,83165,Overall Index,2/3/2014
